,Cluster,Biomarker,Relations
695,148,BEC96,"[{'article': 'PMC7928298.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
1367,149,Discrimination learning,"[{'article': 'PMC6796854.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
3051,149,Reduced primacy effects,"[{'article': 'PMC5226952.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5226952.txt', 'relationship': 'PREDICTS_CONVERSION_TO', 'object': ""Alzheimer's Disease""}]"
4444,149,primacy/recency ratio,"[{'article': 'PMC5226952.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'No significant difference from Experiment 1'}]"
4162,149,generalization,"[{'article': 'PMC10710152.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2260,150,MCP-1,"[{'article': 'PMC3116821.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4991069.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC4991069.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Inflammation, which is linked to Alzheimer's Disease""}, {'article': 'PMC4991069.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Cortical thinning in Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2261,150,MCP-1/CCL2,"[{'article': 'PMC3741576.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive decline in Alzheimer's Disease""}]"
2262,150,MCS-B,"[{'article': 'PMC5619332.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Dementia severity as assessed by Pfeffer-FAQ and CDR'}]"
2282,150,MIP-1α,"[{'article': 'PMC3741576.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Immune cell migration and inflammation'}, {'article': 'PMC8789895.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2345,150,"Macrophage inflammatory protein-1α [MIP-1α, CCL3]","[{'article': 'PMC8789895.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
2283,150,MIP-1β [CCL4],"[{'article': 'PMC8789895.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
3018,151,RICTOR,"[{'article': 'PMC6211704.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
3035,151,RUD-Lite,"[{'article': 'PMC5067903.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
2179,151,LICI,"[{'article': 'PMC7360860.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7360860.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7360860.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Reduced long-interval intracortical inhibition in Alzheimer's Disease""}]"
3974,151,brevican,"[{'article': 'PMC8381483.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
3195,151,SUVRMNI-WM,"[{'article': 'PMC6146627.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Amyloid accumulation in Alzheimer's Disease""}]"
3194,151,SUVRMNI-CB,"[{'article': 'PMC6146627.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Amyloid accumulation in Alzheimer's Disease""}]"
4405,151,parietal lobule,"[{'article': 'PMC9213384.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Depressive symptoms in Alzheimer's Disease""}]"
3975,151,bumetanide,"[{'article': 'PMC10002844.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Reduced risk of Alzheimer’s Disease'}]"
2975,152,QC activity,"[{'article': 'PMC8381483.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Treatment: Varoglutamstat'}, {'article': 'PMC6182869.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6182869.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2976,152,QC inhibition,"[{'article': 'PMC8381483.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Biological effect on QC inhibition'}]"
2084,152,Inhibition cost,"[{'article': 'PMC8281974.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive decline associated with Alzheimer's Disease""}]"
2085,152,Inhibitory/Excitatory Intracortical Circuits,"[{'article': 'PMC7360860.txt', 'relationship': 'BIOMARKER_DYNAMICS_UNDER_TREATMENT', 'object': ""rTMS treatment in Alzheimer's Disease""}]"
327,153,Alanine Transaminase (ALT),"[{'article': 'PMC4487699.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
328,153,Alanine aminotransferase (ALT),"[{'article': 'PMC2194921.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Liver function during indomethacin treatment'}]"
365,153,"Amino acids (phenylalanine, isoleucine, histidine)","[{'article': 'PMC6796854.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""GV-971 treatment in Alzheimer's Disease""}]"
364,153,Amino acid levels,"[{'article': 'PMC6796854.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
503,153,Aspartate aminotransferase (AST),"[{'article': 'PMC2194921.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Normalized within four weeks after treatment discontinuation'}]"
502,153,Aspartate Transaminase (AST),"[{'article': 'PMC4487699.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4512,154,superficial parafoveal vessel density,"[{'article': 'PMC6445433.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early Alzheimer's Disease""}]"
2393,154,Meningeal Lymphatic Vessels,"[{'article': 'PMC10917684.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}]"
4402,154,parafoveal and peripapillary densities,"[{'article': 'PMC6445433.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early Alzheimer's Disease""}]"
4101,154,dura mater lymphatic vessels,"[{'article': 'PMC4493418.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Impaired macromolecule clearance from the brain'}, {'article': 'PMC4493418.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
4022,155,cerebral spinal fluid SOM,"[{'article': 'PMC6174237.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Aβ1–42 concentrations and blood total cholesterol levels'}]"
4011,155,cerebral spinal fluid BACE,"[{'article': 'PMC6106931.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'No relevant changes in levels'}]"
4028,155,cerebral spinal fluid homovanillic acid (HVA),"[{'article': 'PMC5008228.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to Nilotinib treatment'}]"
4041,155,cerebral spinal fluid sAPPα,"[{'article': 'PMC6106931.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Dose-related increase in levels'}]"
4016,155,cerebral spinal fluid NSE,"[{'article': 'PMC5008228.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Cell death after brain trauma'}]"
4036,155,cerebral spinal fluid protein markers,"[{'article': 'PMC8157623.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to treatment: Decrease in synaptic dysfunction markers'}, {'article': 'PMC8157623.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}]"
1074,155,Cerebral spinal fluid (CSF) tests,"[{'article': 'PMC10363100.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
1073,155,Cerebral spinal fluid (CSF) biomarkers,"[{'article': 'PMC7364345.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}]"
4013,155,cerebral spinal fluid F2-isoprostane levels,"[{'article': 'PMC4202787.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to E/C/ALA treatment'}]"
1072,155,Cerebral spinal fluid (CSF),"[{'article': 'PMC4918115.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
1071,155,Cerebral spinal fluid,"[{'article': 'PMC7171193.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4012,155,cerebral spinal fluid DJ-1,"[{'article': 'PMC5008228.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Oxidative stress response'}]"
4042,155,cerebral spinal fluid sAPPβ,"[{'article': 'PMC6106931.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Decrease in levels consistent with β-secretase inhibition'}]"
1089,155,Cerebral spinal fluid biomarkers,"[{'article': 'PMC3695013.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4607601.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-stage Alzheimer's Disease""}, {'article': 'PMC6966425.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Guides treatment selection: Alzheimer's Disease""}]"
4043,155,cerebral spinal fluid sVCAM-1 levels,"[{'article': 'PMC5668981.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Correlated with vascular risk factors and white matter hyperintensity (WMH) volume in Caucasians'}]"
4053,155,cerebral spinal fluid tracer (FITC-Dextran-3kD),"[{'article': 'PMC10917684.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Cerebral spinal fluid dynamics in Alzheimer's Disease""}]"
3999,155,cerebral spinal fluid (CSF) cholinergic markers,"[{'article': 'PMC4936020.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'NGF-ECB treatment'}]"
4000,155,cerebral spinal fluid (CSF) clearance,"[{'article': 'PMC4493418.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
4049,155,cerebral spinal fluid total sAPP,"[{'article': 'PMC6106931.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Dose-dependent decrease in levels'}]"
4026,155,cerebral spinal fluid biomarker,"[{'article': 'PMC8157623.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Pharmacological activity of neflamapimod in Alzheimer's Disease""}]"
1082,155,Cerebral spinal fluid F2-IsoPs,"[{'article': 'PMC3580400.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
4017,155,cerebral spinal fluid NfL levels,"[{'article': 'PMC5668981.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Lower levels in African Americans without cognitive impairment'}]"
4021,155,cerebral spinal fluid S100B,"[{'article': 'PMC5008228.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Glial death in the brain'}]"
4001,155,cerebral spinal fluid AD biomarkers,"[{'article': 'PMC10013957.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10013957.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Disease severity in Alzheimer's Disease patients""}]"
3291,155,Spinal fluid measures,"[{'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Monitoring disease progression in Alzheimer's Disease""}]"
1093,155,Cerebro-cerebral spinal fluid examination,"[{'article': 'PMC6110931.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
1090,155,Cerebral spinal fluid markers,"[{'article': 'PMC6236893.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Functional disability progression in Alzheimer's Disease""}]"
1055,155,Cerebral Spinal Fluid (CSF) Influx,"[{'article': 'PMC10917684.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}]"
4027,155,cerebral spinal fluid biomarkers,"[{'article': 'PMC10013957.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10013957.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease pathology""}, {'article': 'PMC10013957.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Determine preclinical AD pathology in APOEε4 carriers'}, {'article': 'PMC7648990.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4015,155,cerebral spinal fluid NPY,"[{'article': 'PMC6174237.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Diabetes and low plasma cholesterol levels'}]"
865,156,CD25high Tregs,"[{'article': 'PMC6584558.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}]"
3446,156,TREM2 R47H,"[{'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Increased LOAD risk'}, {'article': 'PMC4876682.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': 'Early-onset dementia'}]"
872,156,CD39+ Tregs,"[{'article': 'PMC6584558.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
863,156,CD127low-neg Tregs,"[{'article': 'PMC6584558.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3627,156,Tregs,"[{'article': 'PMC8258160.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8258160.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Dementia status changes'}, {'article': 'PMC6584558.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6584558.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6837488.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
3444,156,TREM1,"[{'article': 'PMC4617238.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease immune response""}, {'article': 'PMC6357742.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
3628,156,Trehalose,"[{'article': 'PMC4857621.txt', 'relationship': 'USED_TO_TREAT', 'object': ""Alzheimer's Disease""}]"
3445,156,TREM2,"[{'article': 'PMC10294511.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC11274940.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC11274940.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Ameliorated amyloid pathology in AD'}, {'article': 'PMC11274940.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnosis of AD pathology'}, {'article': 'PMC11274940.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Target for treatment: Ameliorated amyloid pathology and behavioral deficits.'}, {'article': 'PMC11274940.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4615808.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Microglial response around senile plaques in Alzheimer's Disease""}, {'article': 'PMC4617238.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease immune response""}, {'article': 'PMC4888851.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043748.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8066440.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8258160.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8481830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Microglial Activation in Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease susceptibility""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC6158742.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6357742.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6679484.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease risk""}, {'article': 'PMC6679484.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Inflammatory response and microglial phagocytosis'}, {'article': 'PMC6879435.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6916654.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6916654.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Phagocytic response'}, {'article': 'PMC6916654.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6916654.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6916654.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease Progression""}, {'article': 'PMC6916654.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC6966425.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Patient selection'}, {'article': 'PMC6966425.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Increased levels in Alzheimer's Disease""}, {'article': 'PMC7089534.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3443,156,TREM-2,"[{'article': 'PMC8416781.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Microglial activation in Alzheimer's Disease""}]"
3629,156,Trem2,"[{'article': 'PMC6879435.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Disease-Associated Microglia (DAM) phenotype in Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Aβ detection and clearance'}, {'article': 'PMC7389451.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}]"
3878,157,acquisition z-scores,"[{'article': 'PMC5226952.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2065,157,Immediate memory domain score,"[{'article': 'PMC7592675.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of: Significant improvement in memory functions in suspected mild cognitive impairment'}]"
4465,157,recall-ratio z-scores,"[{'article': 'PMC5226952.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5226952.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Changes in cognitive function across trials'}]"
3582,157,Total Recall (TR) scores,"[{'article': 'PMC9246122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Alzheimer’s Disease'}]"
1625,157,Free Recall (FR) scores,"[{'article': 'PMC9246122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Alzheimer’s Disease'}]"
2237,157,Low memory scores,"[{'article': 'PMC6945608.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': ""Amyloid positivity in Alzheimer's Disease""}]"
